Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2025,5017,2,4,dissabte,12566
2025,5017,2,5,diumenge,9263
2025,5017,3,1,dilluns,11621
2025,5017,3,2,laborables,12209
2025,5017,3,3,divendres,12696
2025,5017,3,4,dissabte,11758
2025,5017,3,5,diumenge,9254
2025,5017,4,1,dilluns,12303
2025,5017,4,2,laborables,12839
2025,5017,4,3,divendres,13942
2025,5017,4,4,dissabte,12430
2025,5017,4,5,diumenge,11355
2025,5017,5,1,dilluns,12651
2025,5017,5,2,laborables,13525
2025,5017,5,3,divendres,12777
2025,5017,5,4,dissabte,13503
2025,5017,5,5,diumenge,11334
2025,5017,6,1,dilluns,12491
2025,5017,6,2,laborables,13205
2025,5017,6,3,divendres,12234
2025,5017,6,4,dissabte,11121
2025,5017,6,5,diumenge,10366
2025,5017,7,1,dilluns,12073
2025,5017,7,2,laborables,12666
2025,5017,7,3,divendres,12853
2025,5017,7,4,dissabte,10309
2025,5017,7,5,diumenge,11122
2025,5017,8,1,dilluns,10670
2025,5017,8,2,laborables,11318
2025,5017,8,3,divendres,11013
2025,5017,8,4,dissabte,10760
2025,5017,8,5,diumenge,10500
2025,5017,9,1,dilluns,11024
2025,5017,9,2,laborables,11500
2025,5017,9,3,divendres,12113
2025,5017,9,4,dissabte,10697
2025,5017,9,5,diumenge,10039
2025,5017,10,1,dilluns,11658
2025,5017,10,2,laborables,12582
2025,5017,10,3,divendres,13247
2025,5017,10,4,dissabte,11180
2025,5017,10,5,diumenge,10024
2025,5017,11,1,dilluns,11421
2025,5017,11,2,laborables,11972
2025,5017,11,3,divendres,12104
2025,5017,11,4,dissabte,12911
2025,5017,11,5,diumenge,10235
2025,5017,12,1,dilluns,11595
2025,5017,12,2,laborables,11714
2025,5017,12,3,divendres,12926
2025,5017,12,4,dissabte,11217
2025,5017,12,5,diumenge,9781
2025,5018,1,1,dilluns,13738
2025,5018,1,2,laborables,14120
2025,5018,1,3,divendres,15142
2025,5018,1,4,dissabte,13190
2025,5018,1,5,diumenge,10269
2025,5018,2,1,dilluns,14164
2025,5018,2,2,laborables,15487
2025,5018,2,3,divendres,16246
2025,5018,2,4,dissabte,12775
2025,5018,2,5,diumenge,10130
2025,5018,3,1,dilluns,14519
2025,5018,3,2,laborables,15865
2025,5018,3,3,divendres,16385
2025,5018,3,4,dissabte,13570
2025,5018,3,5,diumenge,10610
2025,5018,4,1,dilluns,15063
2025,5018,4,2,laborables,16632
2025,5018,4,3,divendres,17747
2025,5018,4,4,dissabte,14541
2025,5018,4,5,diumenge,13386
2025,5018,5,1,dilluns,16898
2025,5018,5,2,laborables,18002
2025,5018,5,3,divendres,17448
2025,5018,5,4,dissabte,16873
2025,5018,5,5,diumenge,14268
2025,5018,6,1,dilluns,Mesura no disponible
2025,5018,6,2,laborables,Mesura no disponible
2025,5018,6,3,divendres,Mesura no disponible
2025,5018,6,4,dissabte,Mesura no disponible
2025,5018,6,5,diumenge,Mesura no disponible
2025,5018,7,1,dilluns,16130
2025,5018,7,2,laborables,17438
2025,5018,7,3,divendres,16631
2025,5018,7,4,dissabte,13466
2025,5018,7,5,diumenge,13208
2025,5018,8,1,dilluns,13062
2025,5018,8,2,laborables,14403
2025,5018,8,3,divendres,14641
2025,5018,8,4,dissabte,12556
2025,5018,8,5,diumenge,12197
2025,5018,9,1,dilluns,13967
2025,5018,9,2,laborables,14862
2025,5018,9,3,divendres,15578
2025,5018,9,4,dissabte,12432
2025,5018,9,5,diumenge,11753
2025,5018,10,1,dilluns,14767
2025,5018,10,2,laborables,16240
2025,5018,10,3,divendres,16945
2025,5018,10,4,dissabte,13925
2025,5018,10,5,diumenge,13179
2025,5018,11,1,dilluns,14157
2025,5018,11,2,laborables,15289
2025,5018,11,3,divendres,16090
2025,5018,11,4,dissabte,14179
2025,5018,11,5,diumenge,11458
2025,5018,12,1,dilluns,13334
2025,5018,12,2,laborables,14085
2025,5018,12,3,divendres,15903
2025,5018,12,4,dissabte,12334
2025,5018,12,5,diumenge,11120
2025,5019,1,1,dilluns,Mesura no disponible
2025,5019,1,2,laborables,Mesura no disponible
2025,5019,1,3,divendres,Mesura no disponible
2025,5019,1,4,dissabte,Mesura no disponible
2025,5019,1,5,diumenge,Mesura no disponible
2025,5019,2,1,dilluns,Mesura no disponible
2025,5019,2,2,laborables,Mesura no disponible
2025,5019,2,3,divendres,Mesura no disponible
2025,5019,2,4,dissabte,Mesura no disponible
2025,5019,2,5,diumenge,Mesura no disponible
