Id_aforament,Desc_aforament,Codi_tipus_aforament,Desc_tipus_aforament,Num_carrils,Codi_districte,Codi_Barri,Codi_tipus_equip_mesura,Desc_tipus_equip_mesura,Longitud,Latitud,X_ETRS89,Y_ETRS89
20234,PG. FABRA I PUIG - AV. MERIDIANA (sentit Besòs),2,Bicis,1,9,60,1,Espira,2.184315,41.430132,431840.842999999,4586827.35099998
20235,SABINO ARANA - PL.PIUS XII (sentit baixada),2,Bicis,1,4,21,1,Espira,2.123595,41.386556,426717.895,4582048.32899998
20236,SABINO ARANA - GRAN VIA CARLES III (sentit pujada),2,Bicis,1,4,21,1,Espira,2.123598,41.386584,426717.896,4582051.62399998
20237,PL. PIUS XII - AV. DIAGONAL (sentit mar),2,Bicis,1,4,21,1,Espira,2.123168,41.386887,426688.814,4582080.17599998
20238,PL. PIUS XII - SABINO DE ARANA (sentit muntanya),2,Bicis,1,4,21,1,Espira,2.123179,41.38688,426690.059999999,4582078.604
20239,PL. PIUS XII - SABINO DE ARANA (sentit Llobregat),2,Bicis,1,4,21,1,Espira,2.123033,41.38684,426680.981,4582070.87899999
20240,PL.PIUS XII - AV. JOAN XXIII (sentit Besòs),2,Bicis,1,4,21,1,Espira,2.123063,41.386819,426681.088999998,4582068.603
20241,ARISTIDES MAILLOL - CARDENAL REIG,2,Bicis,1,4,20,1,Espira,2.119166,41.379825,426352.53,4581281.461
20242,ARISTIDES MAILLOL - AV. DOCTOR MARAÑON,2,Bicis,1,4,20,1,Espira,2.119124,41.379847,426350.864999999,4581282.58
20243,RDA. SANT PERE -GIRONA (sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.17725,41.390612,431210.867,4582443.008
20244,RDA. SANT PERE -BAILEN (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.177221,41.390581,431212.467,4582441.44799998
20245,TORRE MELINA - AV . AV. DIAGONAL (sentit baixada),2,Bicis,1,4,20,1,Espira,2.107775,41.381283,425396.864999999,4581469.411
20246,TORRE MELINA - AV. ALBERT BASTRADAS (sentit pujada),2,Bicis,1,4,20,1,Espira,2.10781,41.381252,425398.104999998,4581468.01099998
20247,AV. MERIDIANA - CONSELL DE CENT,2,Bicis,1,10,65,1,Espira,2.18661,41.406243,432026.791,4584201.50399999
20248,AV. MERIDIANA - CLOT,2,Bicis,1,10,65,1,Espira,2.187122,41.406094,432048.69,4584159.49799999
20249,DUBLIN -  FILATURES,2,Bicis,1,9,61,1,Espira,2.185371,41.428557,431924.447999998,4586665.61099999
20250,DUBLIN - CONCEPCIÓ ARENAL (sentit mar),2,Bicis,1,9,61,1,Espira,2.185371,41.428557,431925.913,4586664.427
20251,CONSELL DE CENT - MERIDIANA (sentit Llobregat),2,Bicis,1,10,65,1,Espira,2.186415,41.406672,432006.634,4584231.04999998
20252,CONSELL DE CENT - INDEPENDÈNCIA (sentit Besòs),2,Bicis,1,10,65,1,Espira,2.186415,41.406672,432008.374,4584230.26099998
20253,PERE IV - MARESME (sentit Llobregat),2,Bicis,1,10,72,1,Espira,2.208855,41.417266,433902.09,4585236.05
20254,PERE IV - RAMBLA PRIM (sentit Besòs),2,Bicis,1,10,72,1,Espira,2.208873,41.417271,433721.36,4585305.43
20255,GRAN VIA DE LES CORTS CATALANES - MUNTANER (sentit Besòs),2,Bicis,1,2,10,1,Espira,2.162183,41.384624,429949.186,4581794.015
20256,PSG. DEL TAULAT - JOSEP PLA (sentit Besòs),2,Bicis,1,10,72,1,Espira,2.218266,41.410077,434525.4,4584384.35
20257,PSG. DEL TAULAT - RBLA. PRIM (sentit Llobregat),2,Bicis,1,10,72,1,Espira,2.218266,41.410077,434634.28,4584777.51
20258,JOSEP PLA - PERE IV (sentit baixada),2,Bicis,1,10,72,1,Espira,2.207414,41.415139,433682.6,4585067.06
20259,JOSEP PLA - MARROC (sentit pujada),2,Bicis,1,10,72,1,Espira,2.207418,41.415128,433708.48,4585358.84
20260,PERE IV - TREBALL (sentit Besòs),2,Bicis,1,10,72,1,Espira,2.205326,41.412897,433697.18,4584855.98
20261,PERE IV - SELVA DE MAR (sentit Llobregat),2,Bicis,1,10,72,1,Espira,2.205336,41.412903,433633.16,4584892.1
20262,NAVAS DE TOLOSA - INDUSTRIA (sentit pujada),2,Bicis,1,9,63,1,Espira,2.184195,41.417367,431831.18,4585255.25
20263,NAVAS DE TOLOSA - CONCEPCIÓ ARENAL (sentit baixada),2,Bicis,1,9,63,1,Espira,2.184195,41.417367,431899.23,4585292.36
20264,ARAGÓ - COMTE D'URGELL (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.15506,41.38476,429256.78,4581690.98
20265,ARAGÓ - VILLARROEL  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.15615,41.38557,429348.81,4581780.02
20266,ARAGÓ - PL. DOCTOR LETAMENDI  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.16023,41.38863,429693.26,4582116.44
20267,ARAGÓ - PG. DE GRÀCIA  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.16471,41.39199,430071.43,4582485.87
20268,ARAGÓ - PAU CLARIS  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.16631,41.39323,430206.52,4582622.26
20269,ARAGÓ - ROGER DE LLÚRIA  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.16748,41.39407,430305.24,4582714.58
