Municipios,Distritos,Secciones,Índice de Gini y Distribución de la renta P80/P20,Periodo,Total
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Índice de Gini,2019,37.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Índice de Gini,2018,37.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Índice de Gini,2017,38.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Índice de Gini,2016,39.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Índice de Gini,2015,38.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2023,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2021,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2020,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2019,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2018,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2017,3.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2016,3.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901005 Barcelona sección 01005,Distribución de la renta P80/P20,2015,3.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2023,38.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2022,38.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2021,38.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2020,40.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2019,38.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2018,39.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2017,40.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2016,41.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Índice de Gini,2015,40.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2023,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2022,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2021,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2020,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2019,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2018,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2016,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901006 Barcelona sección 01006,Distribución de la renta P80/P20,2015,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2023,35.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2022,36.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2021,36
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2020,38.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2019,36.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2018,39.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2017,37.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2016,39.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Índice de Gini,2015,40.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2023,2.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2022,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2021,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2020,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2019,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2018,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2016,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901007 Barcelona sección 01007,Distribución de la renta P80/P20,2015,3.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2023,33.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2022,32.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2021,31.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2020,35.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2019,33.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2018,33.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2017,34.1
